id;geocod_ibge;rds;nome;;;vuln;sensib;s_luc_2017;sl_agrotox;sl_agr_fam;sl_prat_sust;sl_fogo;s_csol_2017;sc_passivo;sc_desmat;sc_pastag;sc_miner;s_dens_pop_faz;sd_popul;sd_fazend;s_infra_2017;si_rodov;si_hidro;s_cap;sc_orient;sc_ucons;expos;e_cobexpo;e_cobnat;e_areaprot;e_priocons;ameaca_atual;ameaca_  SWL1.5;ameaca_SWL2.0;risco_atual;risco_SWL1.5;risco_SWL2.0
4202;2600054;MET;Abreu e Lima;Abreu e Lima;;0,44;0,33;0,00;0,00;0,68;0,96;0,00;0,07;0,00;0,19;0,13;0,00;0,99;1,00;0,98;0,33;0,39;0,27;0,42;0,01;0,83;0,48;0,39;0,33;0,53;0,39;0,39;0,04;0,25;0,58;0,10;0,49
4203;2600104;PAJ;Afogados da Ingazeira;Afogados da Ingazeira;;0,68;0,36;0,04;0,04;0,15;0,75;0,14;0,18;0,06;0,30;0,83;0,00;0,76;0,80;0,73;0,55;0,45;0,64;0,05;0,05;NaoDisponivel;0,53;0,49;0,49;1,00;0,32;0,01;0,24;0,24;0,03;0,59;0,59
4204;2600203;SFR;Afrânio;Afrânio;;0,76;0,50;0,89;0,89;0,45;0,84;0,85;0,24;0,10;0,39;0,98;0,00;0,34;0,11;0,58;0,65;0,50;0,81;0,04;0,04;NaoDisponivel;0,49;0,42;0,37;1,00;0,42;0,02;0,24;0,24;0,05;0,60;0,61
4205;2600302;AGC;Agrestina;Agrestina;;0,72;0,48;0,10;0,10;0,30;0,71;0,03;0,28;0,17;0,59;0,39;0,00;0,85;1,00;0,71;0,67;0,82;0,52;0,08;0,08;NaoDisponivel;0,74;0,88;0,88;1,00;0,42;0,41;0,45;0,53;0,78;0,80;0,83
4206;2600401;MLS;Água Preta;Água Preta;;0,45;0,39;0,22;0,22;0,32;0,79;0,10;0,08;0,76;0,08;0,08;0,00;0,61;0,57;0,65;0,51;0,57;0,45;0,46;0,46;NaoDisponivel;0,71;0,82;0,82;1,00;0,35;0,47;0,08;0,24;0,70;0,35;0,57
4207;2600500;AGM;Águas Belas;Águas Belas;;0,68;0,40;0,05;0,05;0,23;0,67;0,05;0,28;0,17;0,38;0,91;0,00;0,53;0,40;0,66;0,57;0,34;0,79;0,08;0,08;NaoDisponivel;0,62;0,65;0,68;0,00;0,65;0,09;0,14;0,13;0,44;0,52;0,50
4208;2600609;AGC;Alagoinha;Alagoinha;;0,67;0,34;0,01;0,01;0,29;0,84;0,02;0,20;0,02;0,38;0,95;0,00;0,65;0,55;0,75;0,49;0,31;0,66;0,05;0,05;NaoDisponivel;0,39;0,23;0,50;0,23;0,00;0,03;0,25;0,26;0,09;0,54;0,54
4209;2600708;MNS;Aliança;Aliança;;0,64;0,35;0,08;0,08;0,20;0,54;0,44;0,17;0,96;0,04;0,29;0,00;0,81;1,00;0,61;0,38;0,51;0,26;0,09;0,09;NaoDisponivel;0,80;0,99;0,97;1,00;0,99;0,67;0,23;0,24;0,87;0,66;0,67
4210;2600807;AGC;Altinho;Altinho;;0,73;0,41;0,08;0,08;0,25;0,84;0,07;0,32;0,12;0,52;0,59;0,00;0,58;0,41;0,75;0,49;0,42;0,55;0,00;0,01;0,00;0,68;0,78;0,78;1,00;0,23;0,37;0,45;0,47;0,75;0,79;0,80
4211;2600906;MLS;Amaraji;Amaraji;;0,68;0,34;0,27;0,27;0,20;0,93;0,07;0,12;0,22;0,16;0,09;0,00;0,76;0,79;0,73;0,44;0,46;0,41;0,02;0,02;NaoDisponivel;0,80;1,00;0,83;1,00;1,00;0,51;0,20;0,18;0,83;0,64;0,62
4212;2601003;AGM;Angelim;Angelim;;0,66;0,34;0,02;0,02;0,19;0,78;0,01;0,20;0,05;0,78;0,34;0,00;0,75;0,77;0,73;0,48;0,33;0,63;0,05;0,05;NaoDisponivel;0,68;0,78;0,78;1,00;0,10;0,31;0,61;0,33;0,69;0,83;0,71
4213;2601052;MET;Araçoiaba;Araçoiaba;OK;0,36;0,21;0,00;0,00;0,30;0,99;0,03;0,09;0,10;0,08;0,24;0,00;0,97;1,00;0,94;0,25;0,22;0,27;0,43;0,36;0,50;0,60;0,63;0,73;0,43;0,63;0,41;0,05;0,24;0,60;0,17;0,49
4214;2601102;ARP;Araripina;Araripina;OK;0,84;0,64;0,97;0,97;0,30;0,72;1,00;0,73;0,07;0,48;0,98;1,00;0,53;0,34;0,71;0,55;0,51;0,59;0,05;0,05;NaoDisponivel;0,56;0,55;0,55;1,00;0,13;0,01;0,24;0,24;0,08;0,65;0,65
4215;2601201;MOX;Arcoverde;Arcoverde;OK;0,71;0,40;0,06;0,06;0,09;0,61;0,06;0,23;0,03;0,44;0,92;0,00;0,81;1,00;0,61;0,57;0,46;0,67;0,03;0,03;NaoDisponivel;0,60;0,62;0,34;0,62;0,66;0,01;0,24;0,24;0,06;0,63;0,62
4216;2601300;AGC;Barra de Guabiraba;Barra de Guabiraba;OK;0,67;0,31;0,07;0,07;0,15;0,80;0,05;0,16;0,15;0,16;0,54;0,00;0,82;0,98;0,66;0,47;0,50;0,45;0,01;0,01;NaoDisponivel;0,72;0,84;0,84;1,00;0,01;0,43;0,68;0,02;0,77;0,86;0,13
4217;2601409;MLS;Barreiros;Barreiros;OK;0,66;0,38;0,04;0,04;0,30;0,80;0,24;0,15;0,21;0,09;0,48;0,00;0,82;1,00;0,64;0,49;0,57;0,41;0,10;0,03;0,16;0,63;0,68;0,80;0,68;0,00;0,11;0,03;0,25;0,47;0,18;0,63
4218;2601508;MLS;Belém de Maria;Belém de Maria;OK;0,78;0,49;0,00;0,00;0,55;0,89;0,03;0,07;0,01;0,12;0,48;0,00;0,92;1,00;0,84;0,69;0,87;0,50;0,00;0,00;NaoDisponivel;0,66;0,73;0,73;1,00;0,61;0,41;0,47;0,02;0,78;0,80;0,14
4219;2601607;IPA;Belém do São Francisco;Belém do São Francisco;OK;0,71;0,45;0,40;0,40;0,24;0,72;0,03;0,56;0,15;1,00;0,97;0,00;0,34;0,09;0,58;0,62;0,44;0,80;0,08;0,08;NaoDisponivel;0,27;0,01;0,59;0,00;0,01;0,02;0,24;0,24;0,00;0,47;0,47
4220;2601706;AGC;Belo Jardim;Belo Jardim;OK;0,66;0,33;0,05;0,05;0,46;0,70;0,05;0,16;0,03;0,29;0,86;0,00;0,86;0,96;0,76;0,41;0,25;0,56;0,05;0,05;NaoDisponivel;0,59;0,60;0,29;0,60;0,96;0,06;0,44;0,60;0,33;0,73;0,80
4221;2601805;MOX;Betânia;Betânia;OK;0,61;0,22;0,01;0,01;0,10;0,94;0,00;0,09;0,05;0,14;0,98;0,00;0,34;0,08;0,60;0,52;0,25;0,79;0,02;0,02;NaoDisponivel;0,39;0,23;0,23;1,00;0,16;0,01;0,24;0,24;0,00;0,51;0,51
4222;2601904;AGC;Bezerros;Bezerros;OK;0,80;0,55;0,04;0,04;0,42;0,92;0,13;0,53;0,19;1,00;0,86;0,00;0,87;1,00;0,75;0,57;0,69;0,46;0,02;0,02;NaoDisponivel;0,60;0,62;0,62;1,00;0,36;0,46;0,61;0,49;0,79;0,84;0,80
4223;2602001;ARP;Bodocó;Bodocó;OK;0,77;0,47;0,67;0,67;0,10;0,95;1,00;0,17;0,09;0,25;0,91;0,00;0,41;0,19;0,64;0,54;0,52;0,55;0,01;0,01;NaoDisponivel;0,49;0,42;0,42;1,00;0,12;0,01;0,21;0,08;0,04;0,58;0,38
4224;2602100;AGM;Bom Conselho;Bom Conselho;OK;0,73;0,47;0,17;0,17;0,19;0,86;0,20;0,45;0,09;1,00;0,80;0,00;0,59;0,50;0,68;0,49;0,23;0,74;0,07;0,07;NaoDisponivel;0,62;0,67;0,67;0,96;0,24;0,33;0,18;0,12;0,71;0,58;0,50
4225;2602209;AGS;Bom Jardim;Bom Jardim;OK;0,63;0,27;0,09;0,09;0,28;0,67;0,15;0,09;0,04;0,15;0,56;0,00;0,97;1,00;0,95;0,32;0,28;0,35;0,04;0,04;NaoDisponivel;0,68;0,77;0,77;1,00;0,16;0,28;0,13;0,03;0,66;0,50;0,23
4226;2602308;AGC;Bonito;Bonito;OK;0,85;0,65;0,16;0,16;0,25;0,64;0,14;0,70;0,28;0,98;0,43;1,00;0,77;0,79;0,75;0,59;0,71;0,47;0,05;0,05;NaoDisponivel;0,66;0,73;0,73;1,00;0,16;0,43;0,53;0,16;0,80;0,84;0,60
4227;2602407;AGM;Brejão;Brejão;OK;0,68;0,41;0,05;0,05;0,36;0,86;0,03;0,34;0,07;1,00;0,61;0,00;0,59;0,45;0,73;0,47;0,26;0,69;0,08;0,08;NaoDisponivel;0,63;0,68;0,68;1,00;0,00;0,44;0,61;0,41;0,76;0,82;0,74
4228;2602506;PAJ;Brejinho;Brejinho;OK;0,68;0,35;0,03;0,03;0,20;0,84;0,03;0,23;0,00;0,46;0,87;0,00;0,66;0,57;0,76;0,47;0,40;0,53;0,04;0,04;NaoDisponivel;0,47;0,38;0,38;0,99;0,38;0,15;0,24;0,24;0,47;0,57;0,57
4229;2602605;AGC;Brejo da Madre de Deus;Brejo da Madre de Deus;OK;0,65;0,38;0,10;0,10;0,49;0,72;0,03;0,20;0,06;0,35;0,89;0,00;0,60;0,55;0,65;0,47;0,42;0,52;0,11;0,11;NaoDisponivel;0,58;0,59;0,35;0,59;0,74;0,04;0,52;0,60;0,25;0,76;0,79
